attribute,ablation,delta,source,destination,ranker_shift,waveform_shift,source_cosine
age,source,,/data/waris/data/GLOBE/data/train/S_007523/wav/00435966_000002.v2.vad.wav,audio/age/source.wav,,,
age,full_hybrid,-2.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_full_hybrid_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_-2.00.wav,audio/age/full_hybrid_m2p0.wav,-0.7171415090560913,-0.2977312356233597,0.6856878995895386
age,full_hybrid,-1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_full_hybrid_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_-1.00.wav,audio/age/full_hybrid_m1p0.wav,-0.7171415090560913,-0.2622572630643844,0.7301082611083984
age,full_hybrid,0.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_full_hybrid_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_+0.00.wav,audio/age/full_hybrid_p0p0.wav,0.044514000415802,0.0,0.9110921621322632
age,full_hybrid,1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_full_hybrid_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_+1.00.wav,audio/age/full_hybrid_p1p0.wav,1.1225905418395996,0.1356314718723297,0.660581111907959
age,full_hybrid,2.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_full_hybrid_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_+2.00.wav,audio/age/full_hybrid_p2p0.wav,1.2828584909439087,0.2315664589405059,0.5717417001724243
age,no_bins,-2.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_bins_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_-2.00.wav,audio/age/no_bins_m2p0.wav,-0.7171415090560913,-0.2606927901506424,0.6608615517616272
age,no_bins,-1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_bins_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_-1.00.wav,audio/age/no_bins_m1p0.wav,-0.7171415090560913,-0.221897691488266,0.737706184387207
age,no_bins,0.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_bins_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_+0.00.wav,audio/age/no_bins_p0p0.wav,0.0929834842681884,0.0,0.8560004830360413
age,no_bins,1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_bins_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_+1.00.wav,audio/age/no_bins_p1p0.wav,1.2695908546447754,0.1733915209770202,0.66965651512146
age,no_bins,2.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_bins_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_+2.00.wav,audio/age/no_bins_p2p0.wav,1.2828584909439087,0.1885331273078918,0.6260111331939697
age,no_match,-2.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_match_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_-2.00.wav,audio/age/no_match_m2p0.wav,-0.7171415090560913,-0.2360477298498153,0.8616734147071838
age,no_match,-1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_match_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_-1.00.wav,audio/age/no_match_m1p0.wav,-0.7171415090560913,-0.1459634900093078,0.9237127304077148
age,no_match,0.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_match_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_+0.00.wav,audio/age/no_match_p0p0.wav,-0.0529159307479858,0.0,0.9998599290847778
age,no_match,1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_match_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_+1.00.wav,audio/age/no_match_p1p0.wav,1.029738187789917,0.1557869613170623,0.8867263793945312
age,no_match,2.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_match_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_+2.00.wav,audio/age/no_match_p2p0.wav,1.2828584909439087,0.287176102399826,0.8059128522872925
age,no_adversarial,-2.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_-2.00.wav,audio/age/no_adversarial_m2p0.wav,-0.7171415090560913,-0.2283072173595428,0.8578997850418091
age,no_adversarial,-1.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_-1.00.wav,audio/age/no_adversarial_m1p0.wav,-0.7171415090560913,-0.1461993157863617,0.9312312602996826
age,no_adversarial,0.0,/data/waris/code/TVTSynCtrl/results/relgan_raft_hnr_fixed_ablation_paper_v2/20260622_114538/hnr_fixed_no_adversarial_paper_v2_20260622_114538/audio/audio_eval/audio/0263_GLOBE__train__S_007523__00435966_000002_v2_vad_age_+0.00.wav,audio/age/no_adversarial_p0p0.wav,0.0034296512603759,0.0,0.9998531341552734
